,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,emi_per_month,price,zero_downpayment
816,Volkswagen Vento,Volkswagen,1.2 TSI HIGHLINE PLUS AT,2018,Automatic,"43,521",1st,PetrolKA-05,"₹19,776/month","₹10,39,000","₹20,313/month"
817,Maruti IGNIS,Maruti,ZETA 1.2,2018,Manual,"23,381",1st,PetrolKA-04,"₹12,434/month","₹6,36,000",Zero Down Payment
818,Toyota YARIS,Toyota,J MT,2019,Manual,"39,908",1st,PetrolKA-02,"₹15,425/month","₹7,89,000",Zero Down Payment
819,Renault Duster,Renault,RXZ AMT 110 PS,2016,Automatic,"60,795",2nd,DieselKA-03,"₹16,484/month","₹8,66,000","₹16,930/month"
820,Hyundai Eon,Hyundai,AGNA,2012,Manual,"38,430",1st,PetrolKA-05,"₹5,767/month","₹2,95,000",Zero Down Payment
821,Maruti Ciaz,Maruti,ZETA AT 1.5  SHVS PETROL,2021,Automatic,"15,343",1st,PetrolKA-01,"₹19,872/month","₹10,44,000","₹20,410/month"
822,Toyota YARIS,Toyota,J MT,2018,Manual,"24,612",1st,PetrolKA-04,"₹15,741/month","₹8,27,000","₹16,168/month"
823,Maruti Celerio,Maruti,VXI AMT,2014,Automatic,"76,346",2nd,PetrolKA-51,"₹7,976/month","₹4,08,000",Zero Down Payment
824,Maruti Alto 800,Maruti,LXI,2013,Manual,"53,211",1st,PetrolKA-04,"₹5,142/month","₹2,63,000",Zero Down Payment
825,Maruti Alto,Maruti,LXI O,2019,Manual,"41,958",1st,PetrolKA-51,"₹8,289/month","₹4,24,000",Zero Down Payment
826,Volkswagen Vento,Volkswagen,HIGHLINE 1.5 AT,2015,Automatic,"70,252",2nd,DieselKA-01,"₹14,917/month","₹7,63,000",Zero Down Payment
827,HYUNDAI ELITE I20,HYUNDAI,STA 1.2,2016,Manual,"30,042",1st,PetrolKA-04,"₹14,233/month","₹7,28,000",Zero Down Payment
828,TOYOTA YARIS,TOYOTA,G CVT,2021,Automatic,"26,671",1st,PetrolKA-42,"₹20,690/month","₹10,87,000","₹21,251/month"
829,Maruti CIAZ,Maruti,LPHA  AT 1.5 SHVS PETROL,2020,Automatic,"26,306",1st,PetrolKA-50,"₹19,719/month","₹10,36,000","₹20,254/month"
830,HYUNDAI NEW SANTRO,HYUNDAI,STA MT,2018,Manual,"36,324",1st,PetrolKA-04,"₹10,381/month","₹5,31,000",Zero Down Payment
831,Ford Ecosport,Ford,TITANIUM 1.5L PETROL AT,2016,Automatic,"39,441",2nd,PetrolKA-05,"₹14,565/month","₹7,45,000",Zero Down Payment
832,Maruti SWIFT DZIRE,Maruti,VXI,2013,Manual,"56,927",1st,PetrolKA-19,"₹10,029/month","₹5,13,000",Zero Down Payment
833,Renault Duster,Renault,RXS CVT 106 PS,2018,Automatic,"31,214",1st,PetrolKA-41,"₹17,645/month","₹9,27,000","₹18,123/month"
834,Maruti CELERIO,Maruti,ZXI,2015,Manual,"67,255",2nd,PetrolKA-13,"₹8,602/month","₹4,40,000",Zero Down Payment
