,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,emi_per_month,price,zero_downpayment
835,KIA SELTOS,KIA,GTX 1.4 PETROL,2020,Manual,"34,232",2nd,PetrolKA-03,"₹28,684/month","₹15,07,000","₹29,462/month"
836,Maruti DZIRE,Maruti,VXI AMT,2017,Automatic,"22,322",1st,PetrolKA-02,"₹14,408/month","₹7,37,000",Zero Down Payment
837,Toyota YARIS,Toyota,J CVT,2018,Automatic,"76,824",1st,PetrolKA-05,"₹15,265/month","₹8,02,000","₹15,679/month"
838,Hyundai Eon,Hyundai,SPORTZ,2014,Manual,"64,990",2nd,PetrolKA-03,"₹6,080/month","₹3,11,000",Zero Down Payment
839,Tata ALTROZ,Tata,XZ PETROL,2021,Manual,"8,838",1st,PetrolKA-20,"₹16,141/month","₹8,48,000","₹16,579/month"
840,Renault Duster,Renault,RXS CVT 106 PS,2018,Automatic,"40,128",2nd,PetrolKA-53,"₹17,016/month","₹8,94,000","₹17,478/month"
841,Renault Kwid,Renault,RXT 1.0 EASY-R AT OPTION,2019,Automatic,"44,531",1st,PetrolKA-18,"₹9,677/month","₹4,95,000",Zero Down Payment
842,Renault Kwid,Renault,RXT 1.0 (O),2019,Manual,"4,096",1st,PetrolKA-02,"₹9,130/month","₹4,67,000",Zero Down Payment
843,Honda Jazz,Honda,1.2L I-VTEC VX CVT,2021,Automatic,"22,928",1st,PetrolKA-50,"₹19,015/month","₹9,99,000","₹19,531/month"
844,Hyundai Grand i10,Hyundai,STA (O) AT 1.2 KAPPA VTVT,2016,Automatic,"51,086",1st,PetrolKA-05,"₹10,850/month","₹5,55,000",Zero Down Payment
845,Hyundai Elite i20,Hyundai,STA 1.2 (O),2016,Manual,"35,770",1st,PetrolKA-51,"₹14,154/month","₹7,24,000",Zero Down Payment
846,Maruti Alto K10,Maruti,VXI,2012,Manual,"57,513",1st,PetrolKA-53,"₹5,200/month","₹2,66,000",Zero Down Payment
847,Maruti Baleno,Maruti,LPHA CVT PETROL 1.2,2020,Automatic,"18,508",1st,PetrolKA-51,"₹17,645/month","₹9,27,000","₹18,123/month"
848,Hyundai Grand i10,Hyundai,STA 1.2 KAPPA VTVT,2017,Manual,"54,227",2nd,PetrolKA-03,"₹10,401/month","₹5,32,000",Zero Down Payment
849,Hyundai AURA,Hyundai,SX PLUS 1.2 AMT,2020,Automatic,"41,470",1st,PetrolKA-29,"₹15,523/month","₹7,94,000",Zero Down Payment
850,Renault Duster,Renault,RXL AMT 110 PS,2016,Automatic,"21,016",1st,DieselKA-03,"₹18,082/month","₹9,50,000","₹18,573/month"
851,Hyundai NEW SANTRO,Hyundai,AGNA,2021,Manual,"16,502",1st,PetrolKA-14,"₹11,163/month","₹5,71,000",Zero Down Payment
852,KIA SONET,KIA,HTX 1.5,2021,Manual,"25,885",1st,DieselKA-05,"₹23,126/month","₹12,15,000","₹23,753/month"
853,Ford Ecosport,Ford,TITANIUM 1.5L PETROL,2018,Manual,"50,379",2nd,PetrolKA-02,"₹15,284/month","₹8,03,000","₹15,699/month"
854,HYUNDAI ELITE I20,HYUNDAI,SPORTZ PLUS 1.2,2020,Manual,"23,664",2nd,PetrolKA-01,"₹15,288/month","₹7,82,000",Zero Down Payment
855,Honda Amaze,Honda,1.2L I-VTEC E,2014,Manual,"38,619",2nd,PetrolKA-01,"₹8,367/month","₹4,28,000",Zero Down Payment
856,Maruti S PRESSO,Maruti,VXI+,2020,Manual,"55,844",1st,PetrolKA-01,"₹8,837/month","₹4,52,000",Zero Down Payment
