cars_name,cars_brand,model_year,kms,gasoliene_type,price
Hyundai Tucson New,Hyundai,2018,63440,Diesel,1500000
Hyundai Venue,Hyundai,2019,15848,Petrol,1101000
Hyundai Venue,Hyundai,2021,20578,Petrol,1017000
Mahindra Xuv500,Mahindra,2015,9745,Diesel,1101000
Renault Duster,Renault,2017,71237,Diesel,786000
Maruti Swift,Maruti,2018,49578,Petrol,726000
Maruti Celerio,Maruti,2017,21387,Petrol,520000
Maruti Celerio,Maruti,2016,11050,Petrol,478000
Maruti Ciaz,Maruti,2016,95191,Petrol,602000
Hyundai New Elantra,Hyundai,2018,26986,Petrol,1305000
Skoda Rapid,Skoda,2015,63077,Diesel,610000
Maruti Baleno,Maruti,2021,51766,Petrol,745000
Tata Nexon,Tata,2021,10309,Petrol,1087000
Hyundai Xcent,Hyundai,2016,85374,Petrol,510000
Maruti Alto,Maruti,2011,41014,Petrol,235000
Renault Kwid,Renault,2018,59635,Petrol,442000
Skoda Rapid,Skoda,2020,40487,Petrol,1040000
Hyundai New Santro,Hyundai,2022,6385,Petrol,597000
Hyundai Grand I10,Hyundai,2017,86645,Petrol,503000
Ford Ecosport,Ford,2018,37531,Diesel,965000
Maruti Celerio,Maruti,2017,26616,Petrol,464000
Renault Kwid,Renault,2018,74022,Petrol,413000
Ford New Figo,Ford,2019,53923,Diesel,619000
Maruti Ignis,Maruti,2019,28230,Petrol,713000
Tata Altroz,Tata,2021,22467,Diesel,911000
Maruti Dzire,Maruti,2018,22528,Petrol,757000
Maruti Ritz,Maruti,2015,40818,Petrol,486000
Maruti Wagon R 1.0,Maruti,2017,83398,Petrol,413000
Maruti Celerio,Maruti,2016,43077,Petrol,476000
Honda Brio,Honda,2012,27206,Petrol,373000
Hyundai Creta,Hyundai,2019,27503,Petrol,1265000
Maruti Vitara Brezza,Maruti,2021,15708,Petrol,1055000
Honda Amaze,Honda,2018,70968,Petrol,648000
Hyundai Elite I20,Hyundai,2015,48547,Petrol,616000
Hyundai Grand I10 Nios,Hyundai,2020,79978,Petrol,665000
Hyundai Verna,Hyundai,2016,76824,Diesel,786000
Maruti Ciaz,Maruti,2017,79593,Petrol,638000
Hyundai Grand I10,Hyundai,2018,40741,Petrol,552000
Renault Captur,Renault,2017,73947,Diesel,686000
Maruti Alto 800,Maruti,2016,22042,Petrol,307000
